,start,end,nsnps,nsamplecov,tree
0,0,100000,6.0,15.0,"(HNDA09:0.0318277,reference:1e-06,((CH:0.0282558,((EN:1e-06,DO:1e-06)100:1e-06,(AR:1e-06,DU:1e-06)100:1e-06)100:0.00877299)100:0.0142031,(MXGT4:1e-06,(CRL0001:1e-06,(FLBA140:1e-06,(FLWO6:1e-06,(LALC2:1e-06,(CRL0030:1e-06,(BJVL19:1e-06,BJSL25:1e-06)100:1e-06)100:0.0185258)100:1e-06)100:1e-06)100:1e-06)100:0.0118622)100:0.00262872)100:0.00409531);"
1,20000,120000,2.0,7.0,
2,40000,140000,2.0,7.0,
3,60000,160000,2.0,8.0,
4,80000,180000,0.0,7.0,
5,100000,200000,0.0,7.0,
6,120000,220000,0.0,4.0,
7,140000,240000,0.0,4.0,
8,160000,260000,10.0,35.0,"(reference:0.00552048,(NI:0.00545272,HE:1e-06)100:0.0167158,(CH:0.00548685,((FLMO62:1e-06,(FLBA140:1e-06,(AR:1e-06,(DO:0.0087099,((DU:0.00556362,TXWV2:1e-06)100:1e-06,(EN:1e-06,((MXGT4:1e-06,FLCK18:1e-06)100:0.0055877,(CUMM5:1e-06,HNDA09:1e-06)100:0.0114241)100:1e-06)100:1e-06)100:1e-06)100:0.00550867)100:1e-06)100:1e-06)100:1e-06,((CUCA4:0.00546247,MXSA3017:1e-06)100:1e-06,((CRL0001:1e-06,CRL0030:1e-06)100:1e-06,((BJSL25:1e-06,(SCCU3:1e-06,CUSV6:1e-06)100:1e-06)100:1e-06,(LALC2:1e-06,(MXED8:1e-06,(BZBB1:1e-06,(FLSF47:1e-06,((BJVL19:1e-06,(BJSB3:1e-06,FLSF33:1e-06)100:1e-06)100:1e-06,((CUVN10:1e-06,FLSF54:1e-06)100:1e-06,(TXGR3:1e-06,(TXMD3:1e-06,(FLSA185:1e-06,FLWO6:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00544526)100:1e-06)100:1e-06);"
9,180000,280000,25.0,37.0,"(reference:0.00434136,(CH:0.00593533,(HE:1e-06,NI:0.0019764)100:0.0143201)100:1e-06,(AR:1e-06,((FLCK18:1e-06,MXGT4:1e-06)100:0.00298046,(DO:0.00202905,(EN:1e-06,((CUMM5:1e-06,HNDA09:1e-06)100:0.00341063,(DU:0.00203133,((TXMD3:1e-06,(MXED8:1e-06,(MXSA3017:1e-06,CRL0030:0.000901795)100:1e-06)100:1e-06)100:0.00088643,(FLCK216:1e-06,(FLWO6:1e-06,(BJVL19:1e-06,(FLSA185:1e-06,(LALC2:1e-06,(TXWV2:1e-06,(BZBB1:1e-06,(FLSF33:1e-06,((BJSL25:1e-06,TXGR3:1e-06)100:1e-06,(CUCA4:0.00295066,(BJSB3:1e-06,(CRL0001:1e-06,(CUVN10:1e-06,(FLAB109:1e-06,(SCCU3:1e-06,(FLBA140:0.00232309,(FLMO62:1e-06,(CUSV6:1e-06,(FLSF47:1e-06,FLSF54:0.00179473)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00232734)100:1e-06)100:1e-06)100:1e-06)100:4.07563e-05)100:0.00299977)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00150224)100:1e-06)100:1e-06)100:0.00301108)100:0.00507605)100:0.0021936)100:1e-06)100:1e-06)100:1e-06)100:0.00366706)100:0.00064312);"
