,start,end,nsnps,nsamplecov,tree
0,0,100000,2.0,8.0,
1,20000,120000,2.0,11.0,
2,40000,140000,2.0,11.0,
3,60000,160000,2.0,13.0,
4,80000,180000,4.0,13.0,
5,100000,200000,29.0,35.0,"(DO:0.00203204,reference:0.00844697,((AR:1e-06,DU:1e-06)100:1e-06,(EN:0.00405289,(BJVL19:1e-06,(CH:0.00931734,((NI:1e-06,HE:1e-06)100:0.00934311,((MXGT4:0.00192304,(MXED8:1e-06,(BJSB3:1e-06,BJSL25:1e-06)100:1e-06)100:1e-06)100:0.00567748,((TXMD3:1e-06,(FLBA140:1e-06,(FLSF47:1e-06,BZBB1:1e-06)100:0.00678838)100:0.00479996)100:1e-06,(FLWO6:1e-06,(FLSF33:0.0024106,(FLCK216:1e-06,(CUVN10:1e-06,(HNDA09:0.00238713,(FLSA185:1e-06,(MXSA3017:1e-06,(LALC2:1e-06,(FLMO62:1e-06,(FLAB109:1e-06,((CRL0001:1e-06,FLSF54:1e-06)100:1e-06,(SCCU3:1e-06,(CUCA4:1e-06,(FLCK18:1e-06,(CUSV6:1e-06,(TXGR3:1e-06,CRL0030:0.00207694)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00972661)100:0.00227572)100:0.00307734)100:1e-06)100:0.00421297)100:0.00770277)100:0.00964984)100:0.00273013);"
6,120000,220000,35.0,35.0,"(DO:0.00202805,reference:0.00951401,(AR:1e-06,(DU:1e-06,(EN:0.00402235,(BJVL19:1e-06,(CH:0.00963472,((TXMD3:1e-06,(FLSF47:0.00180934,(HE:1e-06,NI:1e-06)100:0.00558837)100:0.00228244)100:1e-06,((FLSF33:0.00218431,FLSF54:1e-06)100:0.0058517,(FLCK216:1e-06,(FLWO6:1e-06,(CUVN10:1e-06,(LALC2:1e-06,((MXED8:0.00293453,(BJSL25:1e-06,BJSB3:1e-06)100:1e-06)100:0.0049976,(FLMO62:1e-06,(FLBA140:1e-06,(SCCU3:1e-06,(FLAB109:1e-06,(CUCA4:1e-06,(CRL0030:0.00209023,(FLSA185:0.00170495,(FLCK18:1e-06,(CRL0001:1e-06,((BZBB1:1e-06,MXSA3017:1e-06)100:1e-06,(HNDA09:0.00170894,(CUSV6:1e-06,(MXGT4:0.0030901,TXGR3:1e-06)100:1e-06)100:7.89275e-05)100:1e-06)100:1e-06)100:0.00269696)100:1e-06)100:0.00266428)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00594427)100:0.00236935)100:1e-06)100:0.00669349)100:0.0058224)100:0.0108843)100:1e-06)100:0.00308551);"
7,140000,240000,48.0,35.0,"(EN:0.00467472,reference:0.0116445,(DU:1e-06,(DO:0.00395485,(AR:1e-06,(BJVL19:1e-06,(CH:0.00660768,((NI:1e-06,HE:1e-06)100:0.0086998,((FLSF33:0.00336857,(FLWO6:1e-06,(FLBA140:1e-06,(CRL0001:1e-06,((MXSA3017:1e-06,BZBB1:1e-06)100:1e-06,(HNDA09:0.00132248,(CUSV6:1e-06,MXGT4:0.00244134)100:5.6326e-05)100:1e-06)100:1e-06)100:0.00496912)100:1e-06)100:0.00042697)100:0.00238613,(CUVN10:1e-06,((FLSF54:1e-06,(BJSL25:1e-06,BJSB3:0.00122401)100:0.00385138)100:1e-06,(TXMD3:1e-06,(CUCA4:0.00304895,((SCCU3:1e-06,(TXGR3:0.000614666,CRL0030:1e-06)100:0.00180998)100:1e-06,(FLAB109:1e-06,((FLMO62:1e-06,(FLSF47:0.00337776,FLCK216:1e-06)100:4.80477e-06)100:1e-06,(LALC2:1e-06,(FLSA185:0.00109253,(FLCK18:1e-06,MXED8:0.00401173)100:1e-06)100:1e-06)100:0.0010895)100:1e-06)100:1e-06)100:1e-06)100:0.00263385)100:1e-06)100:0.00101303)100:0.00390222)100:0.00461283)100:1e-06)100:0.005255)100:0.0130783)100:0.00120681)100:0.00240966)100:1e-06);"
8,160000,260000,55.0,35.0,"(DU:1e-06,reference:0.0117147,(EN:0.00461988,(AR:0.00104147,(DO:0.00272515,(CH:0.0129223,(BJVL19:1e-06,((HE:1e-06,NI:1e-06)100:0.00910539,(((BJSB3:1e-06,BJSL25:0.000995397)100:0.00278386,(CRL0001:1e-06,(FLSF54:1e-06,CUVN10:1e-06)100:1e-06)100:0.00263944)100:0.00247377,(FLWO6:1e-06,((HNDA09:0.00135373,((CUSV6:1e-06,MXGT4:0.00246377)100:9.21364e-05,(BZBB1:1e-06,MXSA3017:1e-06)100:1e-06)100:1e-06)100:0.00301147,(MXED8:0.00409703,(FLCK18:1e-06,(FLSA185:0.00111414,(TXMD3:1e-06,((TXGR3:0.000632286,CRL0030:1e-06)100:0.00184374,(FLSF47:0.00322264,(CUCA4:0.00310223,(SCCU3:1e-06,(FLAB109:1e-06,(LALC2:1e-06,(FLCK216:1e-06,(FLBA140:1e-06,(FLMO62:1e-06,FLSF33:0.0034441)100:1e-06)100:1e-06)100:1e-06)100:0.000970779)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00115307)100:1e-06)100:1e-06)100:0.00230955)100:1e-06)100:0.00287889)100:0.00497317)100:0.0024846)100:0.0104115)100:0.00844247)100:0.00155386)100:0.0024317)100:1e-06);"
9,180000,280000,60.0,35.0,"(EN:0.00378682,reference:0.00973894,(DU:1e-06,(AR:0.00265268,(DO:0.00277531,(CH:0.010987,(BJVL19:1e-06,((HE:1e-06,NI:1e-06)100:0.00861867,((BZBB1:1e-06,(MXGT4:0.00205122,HNDA09:0.00216276)100:1e-06)100:0.000928254,((BJSL25:0.000915254,BJSB3:1e-06)100:0.00271968,((FLWO6:1e-06,(CRL0001:1e-06,(FLSF54:1e-06,CUVN10:1e-06)100:1e-06)100:6.08777e-06)100:0.000746828,(FLSF47:0.00276989,((SCCU3:1e-06,(CUCA4:0.00363486,(FLAB109:1e-06,(FLCK216:1e-06,(FLBA140:1e-06,(FLMO62:1e-06,FLSF33:0.00329266)100:1e-06)100:2.83202e-05)100:0.000692098)100:1.81989e-06)100:0.000136032)100:1e-06,((TXGR3:1e-06,CRL0030:1e-06)100:0.00175395,(TXMD3:1e-06,(LALC2:1e-06,(FLSA185:0.000917364,(FLCK18:1e-06,(MXED8:0.00295066,(MXSA3017:0.00136587,CUSV6:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00170948)100:1e-06)100:1e-06)100:0.0023766)100:1e-06)100:0.0014937)100:0.00367557)100:0.00213763)100:0.00795004)100:0.00633203)100:0.00193628)100:0.00180224)100:1e-06);"
