,start,end,nsnps,nsamplecov,tree
0,0,100000,3.0,8.0,
1,20000,120000,3.0,8.0,
2,40000,140000,9.0,22.0,"(reference:1e-06,((NI:1e-06,HE:0.0111757)100:0.0541651,(CUCA4:1e-06,(EN:1e-06,(MXSA3017:1e-06,CRL0030:1e-06)100:1e-06)100:1e-06)100:0.00731156)100:0.0184644,(CH:0.00899969,((FLSF33:1e-06,((FLSF54:1e-06,FLWO6:1e-06)100:1e-06,(AR:1e-06,CUSV6:0.0113899)100:0.00993029)100:0.0206221)100:0.0136237,(BJSL25:1e-06,(FLAB109:1e-06,(FLSA185:1e-06,(FLSF47:1e-06,((LALC2:1e-06,BJSB3:1e-06)100:1e-06,(BJVL19:1e-06,(TXGR3:1e-06,FLBA140:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00476975)100:0.0187962)100:0.00176566);"
3,60000,160000,14.0,22.0,"(reference:1e-06,(CRL0030:1e-06,(EN:1e-06,(CUCA4:1e-06,MXSA3017:1e-06)100:0.0163832)100:1e-06)100:0.0253915,(CH:1e-06,(CUVN10:1e-06,(DU:0.0240072,((FLSF33:1e-06,((FLSF54:1e-06,FLWO6:1e-06)100:1e-06,(CUSV6:0.0118754,AR:1e-06)100:0.00936461)100:0.0190228)100:0.0119216,(TXGR3:1e-06,(BJSL25:1e-06,(BJSB3:1e-06,(FLBA140:1e-06,(FLSF47:1e-06,(FLSA185:1e-06,(FLAB109:1e-06,(LALC2:1e-06,BJVL19:0.0226693)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00348235)100:0.0117996)100:1e-06)100:1e-06)100:1e-06);"
4,80000,180000,30.0,35.0,"(reference:1e-06,(DU:1e-06,DO:1e-06)100:0.00717925,(EN:0.00329138,(CH:0.0046252,((CRL0030:1e-06,(FLSF33:1e-06,((FLSF54:1e-06,(FLWO6:1e-06,SCCU3:1e-06)100:1e-06)100:0.00241123,((FLMO62:1e-06,CUSV6:0.00102664)100:0.00668313,(AR:1e-06,(CUCA4:1e-06,MXSA3017:1e-06)100:1e-06)100:0.00381147)100:0.00366494)100:0.00739983)100:0.00531998)100:1e-06,(FLCK18:1e-06,(MXGT4:1e-06,(TXMD3:1e-06,(FLCK216:1e-06,(FLAB109:0.00201615,(FLSF47:1e-06,((BZBB1:0.00307365,(HE:0.0150315,NI:0.0115258)100:0.00163308)100:1e-06,(LALC2:1e-06,(TXGR3:1e-06,(CUVN10:1e-06,(FLBA140:1e-06,(FLSA185:1e-06,(MXED8:1e-06,(HNDA09:1e-06,(CRL0001:1e-06,(BJSL25:1e-06,(BJVL19:1e-06,BJSB3:1e-06)100:0.00508437)100:0.00786218)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00241369)100:1e-06)100:0.00240583)100:1e-06)100:0.00131656)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00203705)100:0.00332721)100:0.0109216);"
5,100000,200000,45.0,35.0,"(reference:1e-06,(HE:0.0172778,(EN:0.00735001,(DU:1e-06,DO:1e-06)100:1e-06)100:0.000207541)100:0.0186927,(CH:0.00505802,((FLAB109:0.00218381,(FLSF47:1e-06,((NI:0.0150435,BZBB1:0.00344538)100:1e-06,(LALC2:1e-06,((HNDA09:1e-06,(BJSB3:1e-06,(BJVL19:1e-06,BJSL25:1e-06)100:1e-06)100:0.0166309)100:1e-06,(TXGR3:1e-06,(CUVN10:1e-06,(MXED8:1e-06,(FLSA185:1e-06,FLBA140:0.00408159)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00235128)100:1e-06)100:0.00234189)100:1e-06)100:0.00142144,(FLSF33:1e-06,(TXMD3:1e-06,(MXGT4:1e-06,(FLCK216:1e-06,((FLSF54:1e-06,(FLWO6:1e-06,SCCU3:1e-06)100:0.00907726)100:1e-06,(FLCK18:1e-06,(FLMO62:0.00326092,((AR:1e-06,(MXSA3017:1e-06,CUCA4:1e-06)100:1e-06)100:0.012539,(CUSV6:1e-06,(CRL0001:1e-06,CRL0030:1e-06)100:1e-06)100:0.01489)100:0.00468791)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00493732)100:0.00422144)100:0.0026321)100:0.0100108);"
6,120000,220000,71.0,36.0,"(reference:0.00565809,((DU:1e-06,DO:1e-06)100:0.00900593,(EN:0.0028557,AR:1e-06)100:0.00609916)100:0.00427369,((HE:0.00191645,NI:1e-06)100:0.0197379,(CH:0.00855932,((FLAB109:0.00253317,MXGT4:0.00160332)100:1e-06,((LALC2:1e-06,(FLBA140:1e-06,(CUSV6:1e-06,(CUCA4:1e-06,(CUMM5:1e-06,MXSA3017:0.00131487)100:0.000101657)100:0.00323763)100:0.0076104)100:0.00112303)100:0.00644725,((FLSF33:1e-06,(FLCK18:0.00185493,(SCCU3:1e-06,(FLWO6:1e-06,FLSF54:1e-06)100:1e-06)100:1e-06)100:0.00605501)100:0.00449795,((FLSF47:1e-06,FLMO62:1e-06)100:0.0025288,(FLCK216:1e-06,(TXMD3:1e-06,(CRL0030:1e-06,(BZBB1:0.00326083,(TXGR3:1e-06,((HNDA09:1e-06,(CRL0001:1e-06,CUVN10:1e-06)100:0.00161226)100:0.000104823,(FLSA185:1e-06,(MXED8:0.00155235,(BJSL25:1e-06,(BJSB3:1e-06,BJVL19:1e-06)100:1e-06)100:0.00670925)100:0.000280514)100:0.0030455)100:1e-06)100:0.00217327)100:0.00217121)100:1e-06)100:0.000728426)100:0.00221685)100:0.00266242)100:1e-06)100:0.000832505)100:0.00333973)100:0.00417087)100:1e-06);"
7,140000,240000,69.0,36.0,"(reference:0.00363958,((NI:1e-06,HE:0.00173277)100:0.024723,((DU:1e-06,DO:1e-06)100:0.00872701,(EN:0.00299349,AR:1e-06)100:0.0049181)100:0.00318294)100:1e-06,(CH:0.00855446,((FLAB109:0.00325152,MXGT4:0.00160336)100:1e-06,(CUMM5:1e-06,(LALC2:1e-06,(((FLBA140:1e-06,(CUCA4:1e-06,MXSA3017:0.00155785)100:0.0052115)100:0.0109469,(FLCK18:0.00185192,(SCCU3:1e-06,FLWO6:1e-06)100:1e-06)100:0.00649608)100:1e-06,(FLSF54:1e-06,(FLSF33:1e-06,(FLCK216:1e-06,((FLSF47:1e-06,FLMO62:1e-06)100:0.00325001,(TXMD3:1e-06,(CRL0030:1e-06,(BZBB1:0.0032553,(TXGR3:1e-06,((MXED8:0.00153389,(BJSL25:1e-06,(BJVL19:1e-06,BJSB3:1e-06)100:1e-06)100:0.00824284)100:0.00409602,(HNDA09:1e-06,(FLSA185:1e-06,(CUSV6:1e-06,(CRL0001:1e-06,CUVN10:1e-06)100:1e-06)100:1e-06)100:0.00157381)100:1e-06)100:1e-06)100:0.00256774)100:0.0025671)100:1e-06)100:0.00346092)100:1e-06)100:1e-06)100:0.00306863)100:1e-06)100:0.000962093)100:1e-06)100:1.18189e-05)100:0.00346401)100:0.00430652);"
8,160000,260000,113.0,36.0,"(reference:0.00724418,((DO:0.000746696,DU:0.00174745)100:0.00245249,((EN:0.00199134,AR:1e-06)100:0.00177528,(NI:1e-06,HE:0.000754281)100:0.0175568)100:0.0054734)100:1e-06,(CH:0.00443054,(FLAB109:0.0027092,(MXGT4:0.00133447,((FLSF33:1e-06,((FLCK216:1e-06,(LALC2:1e-06,FLBA140:1e-06)100:0.00237657)100:0.00237864,((FLMO62:1e-06,FLSF47:1e-06)100:0.00267744,(FLSF54:1e-06,(FLWO6:1e-06,(FLCK18:0.000977707,SCCU3:1e-06)100:1.91138e-05)100:0.000664511)100:0.00297622)100:1e-06)100:1e-06)100:0.00165088,((CUCA4:1e-06,MXSA3017:0.00147609)100:0.00130319,(TXMD3:1e-06,(CUMM5:1e-06,(CRL0030:1e-06,(CUSV6:1e-06,(BZBB1:0.0021477,((CUVN10:0.000709043,(HNDA09:1e-06,CRL0001:1e-06)100:1e-06)100:0.00158299,(TXGR3:1e-06,(MXED8:0.00397936,(FLSA185:0.00112092,(BJVL19:1e-06,(BJSL25:0.00125491,BJSB3:1e-06)100:1e-06)100:0.00639732)100:1e-06)100:1e-06)100:0.000754149)100:0.00205085)100:1e-06)100:0.00124993)100:1e-06)100:0.000596414)100:0.00180834)100:1e-06)100:0.000571755)100:0.00247647)100:0.00290032)100:0.00185987);"
9,180000,280000,105.0,37.0,"(CH:0.00294611,reference:0.0114363,(DO:0.000764714,(DU:0.00524123,(((EN:1e-06,AR:1e-06)100:0.00285112,(NI:1e-06,HE:1e-06)100:0.0176397)100:0.00620086,(FLAB109:0.00210929,((MXGT4:0.000747285,((TXGR3:1e-06,MXED8:0.00255143)100:0.00246424,((BJVL19:1e-06,(BJSB3:1e-06,BJSL25:0.00142017)100:4.25825e-05)100:1e-06,(FLCK216:1e-06,(CRL0030:1e-06,(HNDA09:1e-06,(CRL0001:1e-06,CUVN10:0.000804884)100:1e-06)100:1e-06)100:0.00132284)100:0.00132711)100:0.00720824)100:0.000749355)100:0.000822915,(MXSA3017:0.0026094,((CUSV6:1e-06,(FLSA185:0.001348,(TXMD3:0.000778759,(BZBB1:0.00119266,(CUMM5:1e-06,CUCA4:1e-06)100:1e-06)100:0.00107502)100:1e-06)100:1e-06)100:0.000822907,(FLSF33:1e-06,((TXWV2:1e-06,(FLBA140:1e-06,LALC2:1e-06)100:1e-06)100:0.00434862,((FLMO62:1e-06,FLSF47:1e-06)100:0.00182199,(FLSF54:1e-06,(SCCU3:1e-06,(FLCK18:0.00127079,FLWO6:1e-06)100:1.42236e-05)100:0.000240775)100:1e-06)100:0.00311504)100:0.00144803)100:1e-06)100:1e-06)100:0.00138555)100:0.00212837)100:0.00283801)100:1e-06)100:1e-06)100:0.00186205);"
